アクト商品CD,商品名,アクト単価,［数量］,［単位］
030446,ﾀﾞｲｽﾄﾏﾄ ｿﾙ･ﾚｵｰﾈ 2550G,980 ,1,個
020114,ﾀﾞｲｽﾄﾏﾄ(ｲﾀﾘｱ産)ｶｺﾞﾒ2.5K,"1,200 ",3,缶
020392,ﾀﾞｲｽﾄﾏﾄ　ｲﾀﾘｱｯﾄ　#1,-,,
43133,ﾖｰｶﾞﾍﾟｽｶ ｴ･ﾏﾝｺﾞ/ﾋﾟｰﾁ&ﾏﾝｺﾞｰ 200ML,202 ,0,袋
42408,ﾖｰｶﾞｽｯｺ ﾃﾞｨ･ﾍﾟｽｶ/ﾋﾟｰﾁ 200ML,202 ,24,袋
42416,ﾖｰｶﾞｽｯｺ ﾃﾞｨ･ｱﾙﾋﾞｺｯｶ/ｱﾌﾟﾘｺｯﾄ,202 ,,
,,,2,個
12516,ﾗｽﾞﾍﾞﾘｰﾋﾞﾈｶﾞｰ ﾍﾟﾙｼｭﾛﾝ500M,900 ,4,個
12348,ﾀﾞｰｸｽｳｲｰﾄﾁｪﾘｰﾍﾋﾞｰ#300　440G,780 ,12,缶
036016,豆乳でつくった かぼちゃｽｰﾌﾟDM 1L,355 ,12,個
037325,特濃調整豆乳 ｷｯｺｰﾏﾝｿｲF　 1L,255 ,1,個
042161,CCB ｺｶｺｰﾗ ﾚｷﾞｭﾗｰ瓶 190ML,135 ,4,個
006552,北海道ﾌﾚｯｼｭｸﾘｰﾑ40  雪印 1L,"1,180 ",6,本
027013,北海道ﾌﾚｯｼｭｸﾘｰﾑ35 1L,"1,080 ",4,本
29289,■ｼｬｰｸﾍﾞｲ  原塩      25K,"1,980 ",4,個
14207,あらびき天日塩          25K,-,,
14208,あらびき天日塩           1K,-,,
42685,ﾐﾈﾗﾙｳｫｰﾀｰ ﾍﾟﾘｴ瓶 発泡 330ML,198 ,3,個
048115,ｸﾞﾗﾆｭｰ糖 NG ｽｽﾞﾗﾝ    1K,330 ,3,個
16963,ﾊﾟﾝﾌﾟｷﾝﾋﾟｭｰﾚｰ  ｶｺﾞﾒ  1K,,,
48504,ﾊﾟｳﾀﾞｰｼｭｶﾞｰ       日新 1K,480 ,1,個
059150,ｸｰﾍﾞﾙﾁｭｰﾙﾉﾜｰﾙ55ﾌﾚｰｸ1K,"2,000 ",1,袋
042825,ﾎﾟｯｶｻｯﾎﾟﾛ ﾚﾓﾝﾎﾟｯｶA 100%(業務用) 720ML,750 ,1,個
24671,荒挽ﾐｰﾄｿｰｽ       HZ #1,"2,100 ",8,缶
032821,ｸｯｷﾝｸﾞﾋﾞｰﾝｽﾞﾐｯｸｽ 星N1K,800 ,1,個
,,,,
,,,,
42523,【ｹｰｽ】富永 神戸居留地 ﾄﾆｯｸｳｫｰﾀｰ缶 185ML×30缶,,,
042746,【ｹｰｽ】富永 神戸居留地 国産生姜ｼﾞﾝｼﾞｬｰ缶 185ML×20缶,,,
コードなし,【ｹｰｽ】富永 神戸居留地 和柑橘ｺｰﾗ缶 185ML×20缶,,,
